invoiceNum,salePerson,distributeChannel,customerName,customerGender,birthYear,productName,productColor,productSize,productCategory,productQty,productUnitPrice,orderDate,shipInterval
50366092,Nicole Garcia,3,Christopher Green,M,2009,Jeans,Blue,L,Bottoms,8,50,03/30/2023,8
03025421,Mark Cummings,4,Toni Stone,M,1967,Heels,Black,XXL,Footwear,5,65,08/30/2023,6
39701178,Stephanie Martinez,3,Seth Velasquez Jr.,M,2000,Hat,Blue,XXL,Headwear,1,18,02/30/2023,6
37519310,Melissa Thomas,4,Amanda Mccann,M,1976,Helmet,Beige,S,Headwear,8,50,12/31/2023,8
31183715,Richard Patel,2,Hannah Torres,F,2001,Sunglasses,Red,XL,Accessories,8,70,03/01/2022,8
60343445,Richard Patel,1,Joan Craig,M,2002,Hoodie,Black,L,Tops,8,40,05/31/2022,4
03318077,Christopher Wright,4,Ethan Arnold,M,2007,Swimsuit,Green,XS,Sports,1,40,07/31/2022,5
43707974,Christopher Cook,3,Christopher Stone,F,1972,Hood,Black,XXXL,Headwear,6,25,12/31/2023,7
67090756,Nicole Harrington,5,Terry Lynn,F,2012,Hoodie,Navy,XS,Tops,6,40,11/16/2023,2
34709007,Stephanie Martinez,4,Jason Garrison,M,2001,Shirt,Red,L,Tops,8,25,06/04/2024,8
36232374,Amy Fisher,1,Karen Walker,F,1970,Tie,White,L,Sports,3,20,12/08/2022,3
47449992,Stephanie Martinez,1,Jason Maldonado,M,1973,Boots,Gray,XXXL,Footwear,4,90,12/03/2023,7
94467704,Nicole Harrington,5,Sherry Jordan,M,2000,Beanie,Black,XS,Headwear,8,10,04/31/2022,6
15907493,Gregory Wheeler,5,Kelly Moore,M,1972,Swimsuit,Beige,XXXL,Sports,8,40,05/10/2023,4
20977046,Mark Cummings,3,Beth Kelly,F,1960,Shorts,Red,XXXL,Bottoms,2,25,12/30/2024,6
44607589,Jeremy Cook,3,Lauren Hamilton,F,1994,Socks,Gray,XXXL,Sports,8,8,12/06/2024,2
27454696,Hayden Henry,5,Samantha Thomas,M,2008,Socks,Gray,XS,Sports,8,8,03/30/2022,5
34123825,Gregory Wheeler,5,Theresa Harris,F,2010,Uniform,Blue,XXL,Sports,8,55,03/23/2023,6
